"ID","Fecha registro","Estado","Municipio","Fecha hechos","Lugar hechos","Modalidad violencia","Conoce agresor","Hubo drogas","Hubo armas","Violencia Física","Violencia Psicológica","Violencia Sexual","Violencia Patrimonial","Violencia Económica","Violencia Otra"
"1418696","2023-03-30","Jalisco","Zapotlán del Rey","2023-03-28","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1418754","2023-03-02","Jalisco","Puerto Vallarta","2023-01-21","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1418785","2023-02-23","Jalisco","Tonalá","2023-02-19","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","1","0","1","0","0","0"
"1418837","2023-02-10","Jalisco","Tonalá","2022-12-08","Espacio particular","1 - Familiar","SI","NO","Desconocido","1","1","0","0","1","0"
"1418904","2023-03-27","Jalisco","Tala","1995-12-01","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","1","0","0","0","0","0"
"1418941","2023-01-17","Jalisco","San Pedro Tlaquepaque","2022-04-12","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419008","2023-01-05","Jalisco","Cihuatlán","2023-01-03","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419012","2023-01-19","Jalisco","Ixtlahuacán de los Membrillos","2023-01-09","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419044","2023-01-04","Jalisco","Puerto Vallarta","2022-12-26","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419079","2023-02-27","Jalisco","Tlajomulco de Zúñiga","2023-02-11","Espacio particular","1 - Familiar","SI","SI","NO","0","1","0","0","0","0"
"1419198","2023-02-28","Jalisco","Tepatitlán de Morelos","2023-02-25","Espacio particular","1 - Familiar","SI","SI","NO","1","0","0","0","0","0"
"1419213","2023-03-31","Jalisco","San Pedro Tlaquepaque","2023-03-27","Espacio particular","1 - Familiar","SI","SI","NO","0","1","0","0","0","0"
"1419275","2023-03-09","Jalisco","Poncitlán","2023-03-05","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419326","2023-03-08","Jalisco","Guadalajara","2023-03-03","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419327","2023-01-26","Jalisco","Guadalajara","2023-01-05","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419390","2023-02-23","Jalisco","Zapopan","2023-02-13","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419421","2023-02-14","Jalisco","Tonalá","2023-02-06","Espacio particular","1 - Familiar","SI","NO","SI","0","1","0","0","0","0"
"1419464","2023-02-03","Jalisco","Tonalá","2023-02-01","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","1","1","0","0","0","0"
"1419505","2023-01-18","Jalisco","Puerto Vallarta","2022-12-18","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419520","2023-01-02","Jalisco","Tlajomulco de Zúñiga","2022-12-18","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","1","0","0","0","0","0"
"1419532","2023-03-24","Jalisco","Guadalajara","2023-03-07","Espacio particular","1 - Familiar","SI","NO","Desconocido","0","1","0","0","0","0"
"1419578","2023-03-03","Jalisco","Guadalajara","2023-03-01","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1419597","2023-02-23","Jalisco","Zapopan","2023-02-20","Espacio particular","1 - Familiar","SI","SI","Desconocido","0","1","0","0","0","0"
"1419656","2023-01-18","Jalisco","Tlajomulco de Zúñiga","2023-01-04","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419669","2023-01-12","Jalisco","Zapopan","2022-12-27","Espacio particular","1 - Familiar","SI","SI","SI","0","1","0","0","0","0"
"1419756","2023-02-09","Jalisco","Zapopan","2022-01-05","Espacio particular","2 - Laboral","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1419870","2023-02-21","Jalisco","El Salto","2023-02-13","Espacio particular","1 - Familiar","SI","NO","SI","0","1","0","0","0","0"
"1419919","2023-03-30","Jalisco","Tala","2023-02-10","Espacio particular","1 - Familiar","SI","NO","SI","1","1","0","0","0","0"
"1419978","2023-03-27","Jalisco","Zapotlán el Grande","2023-03-15","Espacio particular","1 - Familiar","SI","SI","NO","0","1","0","1","1","0"
"1420074","2023-03-07","Jalisco","Puerto Vallarta","2023-02-23","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1420193","2023-02-20","Jalisco","Zapopan","2023-02-09","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1420199","2023-03-07","Jalisco","Tonalá","2022-11-05","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1420215","2023-02-03","Jalisco","Puerto Vallarta","2023-01-31","Espacio público","4 - En la comunidad","SI","Desconocido","Desconocido","1","1","0","0","0","0"
"1420242","2023-03-17","Jalisco","Puerto Vallarta","2023-03-13","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1420299","2023-02-13","Jalisco","Zapopan","2023-01-23","Espacio particular","1 - Familiar","SI","SI","Desconocido","0","1","0","0","0","0"
"1420315","2023-01-02","Jalisco","Teocaltiche","2022-09-30","Espacio particular","1 - Familiar","SI","SI","NO","1","1","0","0","0","0"
