ID,Fecha registro,Estado,Municipio,Fecha hechos,Lugar hechos,Modalidad violencia,Conoce agresor,Hubo drogas,Hubo armas,Violencia Física,Violencia Psicológica,Violencia Sexual,Violencia Patrimonial,Violencia Económica,Violencia Otra
1454929,07/03/2023,Colima,Tecomán,23/02/2023,Espacio público,1 - Familiar,SI,SI,SI,1,1,1,1,1,0
1455627,02/02/2023,Colima,Cuauhtémoc,27/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,0,0,0,0,0
1456199,16/03/2023,Colima,Manzanillo,15/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,NO,1,1,0,0,0,0
1456228,09/01/2023,Colima,Colima,08/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1456325,19/01/2023,Colima,Tecomán,13/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1456695,31/01/2023,Colima,Colima,27/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1457621,13/01/2023,Colima,Colima,12/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1457803,31/03/2023,Colima,Colima,30/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,0,1,0,0,0
1458214,24/02/2023,Colima,Manzanillo,23/01/2023,Espacio particular,4 - En la comunidad,NO,Desconocido,Desconocido,0,0,1,0,0,0
1458667,13/02/2023,Colima,Manzanillo,06/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1458764,20/02/2023,Colima,Manzanillo,11/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1458847,16/02/2023,Colima,Colima,13/02/2023,Espacio particular,4 - En la comunidad,SI,Desconocido,Desconocido,0,0,1,0,0,0
1458976,06/03/2023,Colima,Ciudad de Villa de ílvarez,01/03/2023,Espacio particular,1 - Familiar,NO,NO,NO,1,1,0,0,0,0
1459710,10/01/2023,Colima,Ciudad de Villa de ílvarez,23/12/2022,Espacio particular,1 - Familiar,NO,NO,NO,0,1,0,0,0,0
1460208,28/02/2023,Colima,Colima,22/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,1,0,0
1461153,17/01/2023,Colima,Manzanillo,23/12/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,0,0,0
1461747,15/03/2023,Colima,Manzanillo,08/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1461965,01/03/2023,Colima,Manzanillo,27/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,NO,0,1,1,0,0,0
1462252,10/03/2023,Colima,Colima,19/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,0,0,0
1462390,09/02/2023,Colima,Cuauhtémoc,09/02/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,0,0
1462400,30/01/2023,Colima,Ciudad de Villa de ílvarez,23/11/2022,Espacio particular,1 - Familiar,SI,NO,NO,1,1,0,0,0,0
1462579,31/03/2023,Colima,Ciudad de Villa de ílvarez,28/03/2023,Espacio particular,4 - En la comunidad,NO,Desconocido,Desconocido,0,0,1,0,0,0
1462595,27/01/2023,Colima,Ciudad de Villa de ílvarez,10/01/2023,Espacio particular,1 - Familiar,NO,NO,NO,0,1,0,0,0,0
1462731,02/01/2023,Colima,Manzanillo,21/10/2022,Espacio público,2 - Laboral,SI,SI,Desconocido,0,1,0,0,0,0
1462950,27/02/2023,Colima,Colima,21/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,0,0,0
